"postcode","postcode_space","postcode.area","Average.download.speed..Mbit.s.","Maximum.download.speed..Mbit.s.","Minimum.download.speed..Mbit.s.","Average.upload.speed..Mbit.s.","Maximum.upload.speed..Mbit.s.","Minimum.upload.speed..Mbit.s.","Average.data.usage..GB.","All.Premises","All.Matched.Premises","lsoa_area","county"
"BS110BX","BS11 0BX","BS",3.21486780347066,4.17592454921452,0.262364264467491,1.80828877117927,2.83321334405622,0.182321556793955,4.99721227376411,3.80666248977032,3.80666248977032,"Bristol 003C","Bristol, City of"
"BS110BY","BS11 0BY","BS",4.49647076906475,5.30330490805908,1.62924053973028,1.98787434815435,2.56494935746154,0.587786664902119,5.38449506278909,2.56494935746154,2.56494935746154,"Bristol 008B","Bristol, City of"
"BS110BZ","BS11 0BZ","BS",4.2297491992283,5.30330490805908,2.77258872223978,2.30258509299405,3.04452243772342,0.741937344729377,4.45434729625351,3.09104245335832,3.09104245335832,"Bristol 008B","Bristol, City of"
"BS110DA","BS11 0DA","BS",3.40784192438082,4.26267987704132,2.50143595173921,1.54756250871601,3.04452243772342,0.470003629245736,5.96614673912369,2.89037175789616,2.89037175789616,"Bristol 008A","Bristol, City of"
"BS110DB","BS11 0DB","BS",3.51749783735832,4.39444915467244,1.38629436111989,2.11625551480255,3.04452243772342,0.262364264467491,5.8636311755981,3.13549421592915,3.13549421592915,"Bristol 008B","Bristol, City of"
"BS110DE","BS11 0DE","BS",4.01096295328305,5.30330490805908,2.09186406167839,1.88706964903238,3.04452243772342,0.336472236621213,4.65396035015752,3.13549421592915,3.13549421592915,"Bristol 008B","Bristol, City of"
"BS110DG","BS11 0DG","BS",3.64021428213266,4.3907385752759,2.484906649788,2.10413415427021,3.04452243772342,0.587786664902119,5.77765232322266,2.70805020110221,2.70805020110221,"Bristol 008B","Bristol, City of"
"BS110DJ","BS11 0DJ","BS",3.81109708683819,5.30330490805908,1.6094379124341,1.62924053973028,2.80336038090653,0.470003629245736,4.70048036579242,3.40119738166216,3.40119738166216,"Bristol 008B","Bristol, City of"
"BS110DL","BS11 0DL","BS",4.38452351487247,5.30330490805908,2.30258509299405,2.16332302566054,3.04452243772342,0.741937344729377,5.29831736654804,2.39789527279837,2.39789527279837,"Bristol 008B","Bristol, City of"
"BS110DP","BS11 0DP","BS",3.83297979808769,4.39444915467244,2.41591377830105,2.34180580614733,3.04452243772342,0.741937344729377,4.84418708645859,2.30258509299405,2.30258509299405,"Bristol 008B","Bristol, City of"
"BS110DR","BS11 0DR","BS",4.45898767581001,4.67562864963665,3.93182563272433,1.79175946922805,1.94591014905531,1.38629436111989,3.97029191355212,1.94591014905531,1.94591014905531,"Bristol 008A","Bristol, City of"
"BS110DS","BS11 0DS","BS",3.30688670219091,4.26267987704132,1.19392246847243,1.19392246847243,1.79175946922805,0.641853886172395,2.63905732961526,1.79175946922805,1.79175946922805,"Bristol 008A","Bristol, City of"
"BS110DT","BS11 0DT","BS",3.89995042419388,5.30330490805908,1.70474809223843,2.06686275947298,3.04452243772342,0.336472236621213,5.42053499927229,2.89037175789616,2.89037175789616,"Bristol 008B","Bristol, City of"
"BS110DX","BS11 0DX","BS",3.30688670219091,4.25277179881662,0.832909122935104,1.80828877117927,3.04452243772342,0.470003629245736,4.58496747867057,2.07944154167984,2.07944154167984,"Bristol 008B","Bristol, City of"
"BS110DY","BS11 0DY","BS",4.32413265625498,5.30330490805908,1.43508452528932,2.11625551480255,3.04452243772342,0.641853886172395,5.40267738187228,3.36729582998647,3.36729582998647,"Bristol 008B","Bristol, City of"
"BS110DZ","BS11 0DZ","BS",4.28220629939167,5.30330490805908,1.3609765531356,1.96009478404727,3.04452243772342,0.587786664902119,5.75890177387728,3.68887945411394,3.68887945411394,"Bristol 008A","Bristol, City of"
"BS110ED","BS11 0ED","BS",4.28634138453947,5.30330490805908,0.587786664902119,1.88706964903238,2.56494935746154,0.641853886172395,4.90527477843843,3.17805383034795,3.17805383034795,"Bristol 003A","Bristol, City of"
